,ALL_mean,AML_mean,ALL_stdev,AML_stdev,mean_diff,std_sum,correlation
M81695_s_at,548.1851851851852,1439.6363636363637,248.77361303263365,686.5774934743015,-891.4511784511785,935.3511065069351,-0.9530658297719872
X85116_rna1_s_at,382.037037037037,1842.7272727272727,329.22548754982756,1214.6597129162628,-1460.6902356902358,1543.8852004660903,-0.9461132442031711
M19045_f_at,1559.851851851852,7160.454545454545,1185.6473306142063,4784.661521228777,-5600.602693602693,5970.308851842983,-0.938075873892828
X04085_rna1_at,1390.5185185185185,4295.363636363636,1376.8997050333035,1744.9151425056336,-2904.845117845118,3121.814847538937,-0.9304988475325928
M21551_rna1_at,229.07407407407408,464.0,138.85602004232408,115.32649305341769,-234.92592592592592,254.18251309574177,-0.9242411016584664
M69043_at,2964.8518518518517,10676.727272727272,2767.5060239487448,5592.1661472261185,-7711.87542087542,8359.672171174863,-0.9225093117247919
X14008_rna1_f_at,1428.7407407407406,6939.363636363636,1070.0090076038034,4952.8318217506085,-5510.622895622895,6022.840829354412,-0.9149540975356606
M83652_s_at,22.51851851851852,1016.8181818181819,239.77703912182355,851.0962129138888,-994.2996632996634,1090.8732520357123,-0.9114713019538888
J03801_f_at,1513.111111111111,6942.909090909091,1104.7671642384594,4900.873727296908,-5429.79797979798,6005.640891535368,-0.904116326277682
X58431_rna2_s_at,449.0740740740741,842.6363636363636,168.28728319932463,267.3302350005598,-393.56228956228955,435.61751819988444,-0.9034583622546196
U67963_at,605.1851851851852,1331.3636363636363,260.51930934445255,548.2124173579568,-726.178451178451,808.7317267024093,-0.8979225461321173
M98399_s_at,84.37037037037037,608.2727272727273,80.41964367192314,504.3364136980575,-523.9023569023569,584.7560573699807,-0.895933184956952
M22960_at,483.962962962963,1924.909090909091,406.03310602817004,1209.961524557327,-1440.946127946128,1615.9946305854971,-0.8916775468641583
L20941_at,3422.777777777778,9582.09090909091,1763.0949477755855,5387.067633778983,-6159.3131313131325,7150.1625815545685,-0.8614228083711618
M83667_rna1_s_at,-104.70370370370371,1216.5454545454545,228.83481022425406,1310.8126001558244,-1321.2491582491582,1539.6474103800783,-0.8581504761034826
HG2981-HT3127_s_at,99.96296296296296,1007.0,88.73273677453307,968.854478237057,-907.0370370370371,1057.5872150115902,-0.8576475057209317
D14874_at,125.92592592592592,338.90909090909093,74.7883814125028,176.77468967329827,-212.983164983165,251.56307108580108,-0.846639230726049
M32304_s_at,652.8888888888889,1522.3636363636363,335.1656689475007,702.1810696290912,-869.4747474747473,1037.3467385765919,-0.8381717656603499
M37435_at,293.74074074074076,594.8181818181819,166.53588030871734,193.18116791334407,-301.0774410774411,359.7170482220614,-0.836984075582593
L09209_s_at,539.1481481481482,2531.5454545454545,722.446894705428,1658.792775703847,-1992.3973063973062,2381.239670409275,-0.8367059104365011
X62654_rna1_at,560.6296296296297,2566.2727272727275,387.4953248500255,2018.32425992005,-2005.643097643098,2405.8195847700754,-0.8336631351493373
U41767_s_at,948.1851851851852,1505.2727272727273,269.71138948556404,401.3412739574864,-557.087542087542,671.0526634430505,-0.8301696311422505
X16546_at,213.25925925925927,1015.0,175.22438199515514,792.9066779892827,-801.7407407407408,968.1310599844378,-0.828132443921
Y00339_s_at,-14.037037037037036,937.0909090909091,132.1375977129323,1018.3943690482048,-951.1279461279462,1150.531966761137,-0.8266853712943473
M95678_at,1323.0740740740741,2725.2727272727275,692.3969473961687,1014.5367505328813,-1402.1986531986533,1706.9336979290501,-0.8214722428292799
HG3494-HT3688_at,228.07407407407408,1488.2727272727273,294.0837041918934,1242.2024062856335,-1260.1986531986531,1536.286110477527,-0.8202890364002203
X83490_s_at,42.851851851851855,157.1818181818182,53.74920657997854,85.81936632464515,-114.32996632996634,139.5685729046237,-0.8191669797189619
L38608_at,80.07407407407408,203.72727272727272,64.67131448624589,87.49753243273882,-123.65319865319864,152.1688469189847,-0.8126052155671002
M75715_s_at,219.40740740740742,452.54545454545456,97.12571522724842,190.02387409815833,-233.13804713804714,287.14958932540674,-0.8119045118112564
X52056_at,-172.7037037037037,992.0,495.4258319726122,945.5531714292962,-1164.7037037037037,1440.9790034019084,-0.8082725015104555
Y07604_at,838.4814814814815,1680.090909090909,570.2878065820646,472.9863538296754,-841.6094276094275,1043.27416041174,-0.8067001556688386
M83221_at,735.2222222222222,1709.7272727272727,322.4237934211782,888.6435833233807,-974.5050505050506,1211.0673767445587,-0.8046662549234828
D10495_at,34.0,712.4545454545455,258.86185802172855,585.4200822719296,-678.4545454545455,844.2819402936582,-0.8035876560602083
Z32765_at,1559.851851851852,3093.090909090909,470.7791989150054,1441.2953517267345,-1533.239057239057,1912.0745506417397,-0.8018720068861666
D43682_s_at,1772.7407407407406,3101.818181818182,617.977444982519,1069.7178897430686,-1329.0774410774413,1687.6953347255876,-0.787510289168124
X64072_s_at,682.4814814814815,3432.0,1023.6956943564209,2495.107492674414,-2749.5185185185182,3518.803187030835,-0.781378887188789
J04027_at,105.88888888888889,552.5454545454545,136.1753206301272,437.239376917579,-446.6565656565656,573.4146975477063,-0.7789416064268307
L08177_at,-57.111111111111114,116.0,63.71531233260201,159.56190021430555,-173.11111111111111,223.27721254690755,-0.7753192058268946
X75042_at,242.14814814814815,572.9090909090909,114.37109092225379,314.4711288959464,-330.7609427609427,428.8422198182002,-0.7712881975593793
Z48501_s_at,8832.925925925925,14043.636363636364,3239.0289609212537,3525.316163771053,-5210.710437710439,6764.345124692307,-0.7703200149692926
M19507_at,337.48148148148147,4903.0,772.9770804827054,5165.479416278802,-4565.518518518518,5938.456496761508,-0.7688055845838543
D26308_at,789.5925925925926,3047.7272727272725,299.96182568136373,2641.02753075045,-2258.13468013468,2940.9893564318136,-0.7678146387018502
M95178_at,228.96296296296296,575.7272727272727,180.9650373120309,271.64244547164975,-346.7643097643098,452.60748278368067,-0.7661479824230888
M31158_at,125.55555555555556,295.0,90.65290242429482,131.0702101928581,-169.44444444444446,221.72311261715294,-0.7642164249111119
Y00433_at,7340.851851851852,12872.454545454546,4353.142743632323,2890.534011688372,-5531.602693602694,7243.6767553206955,-0.7636457120397548
U63289_at,-112.66666666666667,-3.0,79.25858361668519,64.51356446515724,-109.66666666666667,143.77214808184243,-0.7627810262961281
X70297_at,219.5185185185185,721.3636363636364,109.14118251511536,550.1931065957248,-501.8451178451179,659.3342891108401,-0.7611391158222519
X61587_at,306.81481481481484,1340.8181818181818,530.2545859546392,828.452149273791,-1034.003367003367,1358.7067352284303,-0.7610202703746272
Z30644_at,1078.3333333333333,1953.6363636363637,483.1859014754212,671.1541213055721,-875.3030303030305,1154.3400227809932,-0.758271404463897
M28209_at,341.74074074074076,609.5454545454545,122.1085874232731,231.57001690044572,-267.80471380471374,353.6786043237188,-0.7571979490158657
HG4321-HT4591_at,-54.74074074074074,151.72727272727272,83.86325526740292,189.18831407309008,-206.46801346801345,273.051569340493,-0.7561502538392283
U02020_at,213.5185185185185,2159.909090909091,214.89216801606307,2364.2512326123656,-1946.3905723905725,2579.1434006284285,-0.7546655110050566
D50310_at,4144.333333333333,6447.181818181818,1531.3279807459228,1521.5850168940162,-2302.848484848485,3052.912997639939,-0.7543118610418007
M21904_at,51.25925925925926,1852.0,1116.3636226121566,1274.129506761381,-1800.7407407407406,2390.4931293735376,-0.753292581607482
X64364_at,1003.8518518518518,3138.090909090909,607.1853540156038,2231.9402077361055,-2134.2390572390573,2839.1255617517095,-0.7517240822284221
AJ000480_at,715.5925925925926,1486.090909090909,244.37380875322629,781.716247054576,-770.4983164983164,1026.0900558078024,-0.7509071081404564
HG1879-HT1919_at,325.5925925925926,571.5454545454545,100.90027798210517,227.23792097111064,-245.9528619528619,328.1381989532158,-0.7495404763525522
X06985_at,325.5925925925926,966.0909090909091,291.6688400407425,566.3044154066705,-640.4983164983165,857.9732554474131,-0.7465248041610709
U73936_at,-1.0740740740740742,56.18181818181818,39.22707652583267,37.58408754198559,-57.255892255892256,76.81116406781825,-0.7454110733869335
U07132_at,1060.3333333333333,1756.2727272727273,368.73359155149063,565.7782411703531,-695.939393939394,934.5118327218438,-0.7447090230119531
M22324_at,13.851851851851851,596.8181818181819,302.94969164783066,481.8491087844447,-582.96632996633,784.7988004322754,-0.7428226567691313
M13485_at,287.14814814814815,527.8181818181819,148.27357866813,176.77546106958292,-240.67003367003372,325.0490397377129,-0.740411458727071
U46499_at,214.25925925925927,1200.3636363636363,605.7701133263594,727.7539794088758,-986.104377104377,1333.5240927352352,-0.7394724868312996
D88422_at,144.62962962962962,2520.3636363636365,131.04055395421213,3091.8965788889923,-2375.734006734007,3222.9371328432044,-0.7371332138390756
M57731_s_at,64.07407407407408,2606.818181818182,222.56389331984334,3236.802150832881,-2542.744107744108,3459.3660441527245,-0.7350318166075664
U60666_at,145.7037037037037,275.72727272727275,100.8749472651906,76.39776293726264,-130.02356902356905,177.27271020245325,-0.7334663574279222
HG4535-HT4940_s_at,1240.5925925925926,2172.0,411.8734177519985,858.163970345994,-931.4074074074074,1270.0373880979926,-0.7333700693664481
L42379_at,576.2962962962963,1884.090909090909,480.4401679561722,1303.2087672008238,-1307.7946127946127,1783.648935156996,-0.7332130146336792
X89101_s_at,469.1111111111111,842.4545454545455,183.36813189557176,330.1755180616406,-373.3434343434344,513.5436499572124,-0.7269945492939903
U59877_s_at,-537.4444444444445,-129.27272727272728,353.8574608003942,209.76801038723272,-408.1717171717172,563.625471187627,-0.724189622430743
X07743_at,171.33333333333334,1185.3636363636363,245.1787417061589,1160.5859100236632,-1014.0303030303029,1405.7646517298222,-0.7213371753106168
M68891_at,353.0740740740741,749.1818181818181,188.25410934853372,361.8214527033515,-396.10774410774405,550.0755620518852,-0.7200969674605935
X62320_at,705.4814814814815,4195.181818181818,332.6867746522095,4517.7778568270005,-3489.7003367003363,4850.46463147921,-0.7194569184264124
M31166_at,35.370370370370374,424.45454545454544,25.551077273914494,517.0000703358489,-389.08417508417506,542.5511476097635,-0.7171382399582142
L19779_at,3799.5185185185187,10405.636363636364,2815.4098809446555,6396.666855053924,-6606.117845117846,9212.07673599858,-0.7171149388392224
M13452_s_at,481.8888888888889,1700.0,269.28699779136605,1439.65516704522,-1218.111111111111,1708.942164836586,-0.7127866209723899
M58603_at,539.4814814814815,1645.3636363636363,280.6184612560635,1279.4827292876814,-1105.8821548821547,1560.101190543745,-0.7088528369731707
M80899_at,404.55555555555554,925.0,276.2030096941425,460.9516243598671,-520.4444444444445,737.1546340540096,-0.70601800545191
HG627-HT5097_s_at,1315.7407407407406,3129.6363636363635,523.8706969496454,2047.6691760500412,-1813.8956228956229,2571.539872999687,-0.7053733220087013
X67698_at,919.8888888888889,2195.3636363636365,456.7135386763309,1353.6340179477813,-1275.4747474747476,1810.3475566241123,-0.7045468936656665
K03195_at,656.8518518518518,1270.090909090909,158.4724445117058,712.1392356197564,-613.2390572390572,870.6116801314622,-0.7043772456009988
U61836_at,-4.518518518518518,714.2727272727273,236.56945156360618,787.1609861914005,-718.7912457912457,1023.7304377550067,-0.702129407588507
M33195_at,196.59259259259258,1578.090909090909,315.26841546398816,1652.6197054704057,-1381.4983164983164,1967.888120934394,-0.7020207611408074
D26579_at,277.74074074074076,849.7272727272727,136.18810311550504,681.3463276350863,-571.986531986532,817.5344307505914,-0.6996482477947529
X17094_at,86.0,578.0909090909091,155.73794557623935,548.411607197633,-492.0909090909091,704.1495527738723,-0.6988443110592121
U40369_rna1_at,381.6666666666667,1335.8181818181818,276.62457202163705,1089.5592520080602,-954.151515151515,1366.1838240296972,-0.6984063918551962
U05681_s_at,1370.888888888889,2487.909090909091,569.5120943764282,1031.7474937740778,-1117.020202020202,1601.259588150506,-0.6975884549177861
M19684_at,-294.74074074074076,-7.181818181818182,257.49437523245683,155.56144649740062,-287.5589225589226,413.0558217298575,-0.6961744815861448
X52192_at,778.6666666666666,1378.4545454545455,350.4498208347051,514.2453429320218,-599.7878787878789,864.6951637667269,-0.6936408388999463
L09717_at,57.03703703703704,200.1818181818182,74.34352772071092,132.67842189430667,-143.14478114478115,207.0219496150176,-0.691447363001731
M71243_f_at,243.59259259259258,1144.5454545454545,205.00173718949858,1105.1090772983782,-900.9528619528619,1310.1108144878767,-0.6876921035912867
X07730_at,352.77777777777777,737.9090909090909,272.38650894713976,289.5947011067207,-385.1313131313131,561.9812100538604,-0.6853099467407496
M33684_s_at,362.3333333333333,563.0,99.08349237657329,194.13500457156098,-200.66666666666669,293.21849694813426,-0.6843588271382534
U77396_at,160.22222222222223,1181.3636363636363,317.0223643328329,1175.5511280014387,-1021.1414141414141,1492.5734923342716,-0.6841481638163267
X62573_at,542.6666666666666,827.8181818181819,221.5907523757739,195.3263004215347,-285.15151515151524,416.9170527973086,-0.6839526309568982
X66171_at,-655.3703703703703,-158.0909090909091,452.5930544478925,276.0193669094451,-497.2794612794612,728.6124213573376,-0.6825020363406317
J04990_at,574.0,5087.545454545455,173.31052611292384,6465.784722114344,-4513.545454545455,6639.095248227268,-0.6798434554392988
U19713_s_at,904.2592592592592,1944.2727272727273,772.752104374239,760.1222389733234,-1040.013468013468,1532.8743433475624,-0.6784727479633054
L11669_at,669.3333333333334,1587.6363636363637,533.2781061149412,824.4972131823458,-918.3030303030304,1357.775319297287,-0.676329151997177
U81554_at,334.2962962962963,595.7272727272727,228.20062273474238,158.80937686993857,-261.43097643097644,387.00999960468096,-0.6755147843673814
U29680_at,182.14814814814815,843.5454545454545,142.3288996286969,837.9788020751317,-661.3973063973064,980.3077017038286,-0.6746833726265351
L12392_at,959.2962962962963,1352.0,259.239095878513,322.92104298109774,-392.7037037037037,582.1601388596107,-0.6745630239696042
M31994_at,271.1111111111111,516.0909090909091,105.57911118184657,257.7613060742262,-244.97979797979804,363.3404172560728,-0.6742431789721393
J05500_at,322.44444444444446,688.5454545454545,178.80228301186875,364.347735998555,-366.10101010101005,543.1500190104238,-0.6740329509110891
J03909_at,522.4814814814815,2774.0,590.6384661709715,2750.1861391549483,-2251.5185185185182,3340.82460532592,-0.6739409530596616
M21119_s_at,341.962962962963,5563.545454545455,640.6319284942547,7143.842486556327,-5221.582491582492,7784.474415050581,-0.6707687909522874
Z29481_at,473.14814814814815,728.0909090909091,201.50963017714824,178.63955583546135,-254.94276094276097,380.14918601260956,-0.6706387132295596
M24400_at,-229.74074074074073,-15.727272727272727,112.15360092047959,206.9860337844517,-214.013468013468,319.13963470493127,-0.6705950773282662
D28235_s_at,-0.14814814814814814,356.3636363636364,23.24237460346892,508.44690435231735,-356.5117845117845,531.6892789557862,-0.6705265624538407
X90858_at,119.07407407407408,1012.7272727272727,171.10071841011026,1162.2276103164209,-893.6531986531986,1333.328328726531,-0.6702424147147099
M13690_s_at,205.77777777777777,576.2727272727273,187.01528800800736,366.17457336879386,-370.4949494949495,553.1898613768012,-0.669742841224253
X16667_at,141.11111111111111,327.54545454545456,132.53253108151142,146.19258779867306,-186.43434343434345,278.7251188801845,-0.668882460911196
L43579_s_at,501.8888888888889,804.1818181818181,200.4344000363927,251.60596899987019,-302.2929292929292,452.04036903626286,-0.6687299409506481
V01516_f_at,468.4074074074074,668.3636363636364,129.2214138181973,170.17066299880995,-199.95622895622898,299.39207681700725,-0.6678741504520346
M60298_at,15.444444444444445,230.9090909090909,88.45439213051823,235.43001276194784,-215.46464646464645,323.8844048924661,-0.6652516861260535
L15326_s_at,-45.0,176.8181818181818,59.57735759885243,274.9522933826224,-221.8181818181818,334.5296509814748,-0.6630748011944251
HG1102-HT1102_at,363.2962962962963,731.9090909090909,179.4094618066589,376.8749008744027,-368.6127946127946,556.2843626810616,-0.6626337523424759
U41766_s_at,15.851851851851851,94.63636363636364,51.19322649283242,68.08123489960023,-78.78451178451179,119.27446139243266,-0.6605312727030286
S76638_at,96.29629629629629,433.8181818181818,115.78023440148442,396.8566033674678,-337.5218855218855,512.6368377689522,-0.6584034947445743
M19508_xpt3_s_at,837.6666666666666,1702.8181818181818,342.4907634914015,972.0775502172467,-865.1515151515151,1314.568313708648,-0.6581259460839716
U70063_at,86.33333333333333,342.0,89.07818519100553,303.4666373755112,-255.66666666666669,392.5448225665167,-0.651305664904914
U29171_at,894.7407407407408,2067.181818181818,393.397977449006,1407.733839770986,-1172.4410774410771,1801.131817219992,-0.6509468469946385
U57721_at,137.33333333333334,267.45454545454544,78.09806458746397,121.91584280671945,-130.1212121212121,200.01390739418343,-0.650560822577061
X55668_at,-143.11111111111111,475.27272727272725,158.18935424001134,793.0668434513059,-618.3838383838383,951.2561976913172,-0.6500707589444836
X53296_s_at,312.6666666666667,1113.5454545454545,141.41319707754403,1095.37795884675,-800.8787878787878,1236.7911559242941,-0.6475456943903072
Y09980_rna4_at,18.0,99.18181818181819,55.927150417718885,69.44756033413726,-81.18181818181819,125.37471075185616,-0.647513503281333
M27783_s_at,64.0,2150.090909090909,136.53458282681464,3096.2391527317604,-2086.090909090909,3232.773735558575,-0.6452944374501557
X74570_at,191.7037037037037,511.6363636363636,247.70544151266793,249.42023684026634,-319.93265993265993,497.1256783529343,-0.6435649451717194
U72661_at,-97.29629629629629,920.9090909090909,252.7039640514043,1331.798667557935,-1018.2053872053872,1584.5026316093392,-0.6426025220111006
U57094_at,227.5185185185185,371.54545454545456,126.68597468676705,97.56266051760134,-144.02693602693606,224.24863520436838,-0.6422644931402927
X83378_at,284.18518518518516,438.54545454545456,140.67010973223762,100.57272357489742,-154.3602693602694,241.24283330713504,-0.6398543212421474
HG3725-HT3981_s_at,323.51851851851853,535.6363636363636,129.41298542928683,202.7808041838639,-212.1178451178451,332.1937896131507,-0.6385364559790911
M93056_at,524.2962962962963,1597.1818181818182,767.7643275628678,913.8413230076453,-1072.885521885522,1681.6056505705133,-0.6380125575348342
X78925_at,214.59259259259258,546.3636363636364,154.14060994860384,366.310325469341,-331.77104377104376,520.4509354179448,-0.6374684359143616
HG417-HT417_s_at,501.77777777777777,2007.3636363636363,507.03059635590597,1859.605994436847,-1505.5858585858584,2366.636590792753,-0.6361711233753603
D14664_at,61.55555555555556,242.36363636363637,116.63398809732598,169.36485628799895,-180.80808080808083,285.9988443853249,-0.6321986412101686
D14811_at,290.85185185185185,527.0909090909091,178.40634339009182,195.34863938377177,-236.23905723905727,373.7549827738636,-0.6320693184764606
X01060_at,733.8148148148148,2146.7272727272725,577.761664798333,1663.7706627362493,-1412.9124579124577,2241.5323275345822,-0.6303332950216661
U51336_at,1050.5555555555557,1526.5454545454545,351.8906444352076,403.8909168665133,-475.98989898989885,755.7815613017209,-0.6297982424578834
M20203_s_at,-292.1111111111111,1479.8181818181818,219.6406739222625,2594.1013788278137,-1771.9292929292928,2813.7420527500763,-0.6297411986281601
M29610_s_at,202.14814814814815,695.8181818181819,182.20966446201976,602.1125838548498,-493.6700336700337,784.3222483168696,-0.6294224532447393
X80907_at,725.1481481481482,1063.4545454545455,203.91357590593728,333.7404271694886,-338.30639730639734,537.6540030754259,-0.6292269663598828
L31881_at,-69.74074074074075,82.36363636363636,109.7362546474299,132.08275642737982,-152.1043771043771,241.81901107480974,-0.6290009062079975
U20816_s_at,-385.3703703703704,-126.45454545454545,183.9680465875587,228.31003641380448,-258.91582491582494,412.27808300136314,-0.6280125856580372
U79734_at,-140.66666666666666,6.2727272727272725,97.08283536793168,136.89637753358625,-146.93939393939394,233.97921290151794,-0.6280019157139436
D49817_at,163.37037037037038,937.0909090909091,281.7742069524883,951.884179356444,-773.7205387205388,1233.6583863089322,-0.6271756811344563
U36341_rna1_at,675.7777777777778,1258.0,261.1105473716409,667.5538929554676,-582.2222222222222,928.6644403271085,-0.6269457480434406
X14046_at,2287.962962962963,4457.454545454545,1452.408013278995,2010.3280012792125,-2169.491582491582,3462.7360145582074,-0.6265252601903516
M30703_s_at,21.296296296296298,2262.6363636363635,62.6196177265282,3526.2569183973897,-2241.3400673400674,3588.876536123918,-0.6245241497665937
M15395_at,676.074074074074,2462.181818181818,791.8128627943661,2069.0669306806785,-1786.107744107744,2860.8797934750446,-0.6243211435102627
HG3921-HT4191_f_at,-130.62962962962962,295.72727272727275,314.316492646914,368.8734446687891,-426.35690235690237,683.1899373157031,-0.6240678895712163
U73960_at,92.44444444444444,447.09090909090907,115.86143359579059,452.7993936712934,-354.6464646464646,568.660827267084,-0.6236520042199023
U80073_at,406.48148148148147,717.0909090909091,209.90260935277917,289.51803209660517,-310.60942760942766,499.42064144938433,-0.621939507161735
U04343_at,145.1851851851852,227.27272727272728,55.855608517399595,76.2667567280672,-82.08754208754209,132.1223652454668,-0.621299368468266
L29277_at,564.4074074074074,1057.2727272727273,266.9954276847422,526.873626386649,-492.86531986531986,793.8690540713912,-0.6208395671019535
U09937_rna1_s_at,760.1111111111111,2448.4545454545455,440.2713615429373,2282.821077685957,-1688.3434343434344,2723.0924392288944,-0.6200095927781016
M95610_at,435.3333333333333,809.2727272727273,186.6176675616589,416.67615504348,-373.93939393939394,603.2938226051389,-0.6198296417567342
X63097_at,3.5925925925925926,75.36363636363636,55.47019938618412,60.59912990674491,-71.77104377104376,116.06932929292904,-0.6183463298035622
X07834_at,50.407407407407405,330.09090909090907,75.23770498036374,377.43196858386403,-279.6835016835017,452.66967356422776,-0.6178534105926102
X16665_at,227.40740740740742,492.1818181818182,195.18497326683166,234.3799557051832,-264.77441077441074,429.56492897201485,-0.6163780907534474
U46901_at,211.85185185185185,420.54545454545456,148.83617832102507,190.00598076711353,-208.6936026936027,338.8421590881386,-0.6159021157674714
M54915_s_at,1496.7407407407406,4220.727272727273,1541.6706121455634,2888.416108904986,-2723.986531986532,4430.086721050549,-0.6148833428119815
HG3162-HT3339_at,717.1481481481482,1057.8181818181818,198.5293436369049,356.23863299249797,-340.6700336700336,554.7679766294029,-0.6140766014286521
X59892_at,1882.5185185185185,3048.818181818182,574.9917972906806,1324.5604416697502,-1166.2996632996635,1899.5522389604307,-0.6139866224147356
M16750_s_at,513.4814814814815,1830.1818181818182,771.9597124985199,1381.102445018603,-1316.7003367003367,2153.062157517123,-0.6115477586670023
Z54367_s_at,391.0740740740741,924.8181818181819,255.65059176779755,617.8361948254275,-533.7441077441079,873.486786593225,-0.611050007780676
U04636_rna1_at,0.8148148148148148,479.72727272727275,50.5500795381228,734.0323005030624,-478.9124579124579,784.5823800411852,-0.6104042992748808
M27281_at,-20.333333333333332,66.72727272727273,71.22985545185605,71.70786694511406,-87.06060606060606,142.93772239697012,-0.609080686334285
U20734_s_at,940.925925925926,3339.2727272727275,959.0512108700062,2993.8097498307766,-2398.3468013468014,3952.860960700783,-0.6067369495641483
M81758_at,411.18518518518516,784.2727272727273,317.37578273142935,298.9508624871622,-373.0875420875421,616.3266452185916,-0.6053406014195926
U77604_at,1116.7777777777778,1553.909090909091,358.60052054247404,364.82446588611754,-437.13131313131316,723.4249864285916,-0.6042524398961465
X13973_at,565.3703703703703,1026.909090909091,249.13390717384036,515.8442506310319,-461.53872053872067,764.9781578048722,-0.6033358153167665
M24283_at,115.4074074074074,598.0,109.29784967244298,692.1008597018212,-482.5925925925926,801.3987093742642,-0.6021878834436896
U07158_at,411.6666666666667,681.2727272727273,182.99180309511132,264.7304632674868,-269.60606060606057,447.72226636259813,-0.6021725539728103
S75256_s_at,39.48148148148148,246.0909090909091,140.70437376897988,202.6013102353756,-206.6094276094276,343.3056840043555,-0.6018234979377922
X14787_at,-24.666666666666668,220.1818181818182,38.24616622315537,369.02000438507883,-244.84848484848484,407.26617060823423,-0.601200154883511
L28821_at,32.55555555555556,354.6363636363636,223.81299428374663,312.2935390709429,-322.0808080808081,536.1065333546895,-0.6007776216890804
X05130_s_at,1075.8148148148148,2481.3636363636365,606.3412999951199,1734.998747707172,-1405.5488215488217,2341.340047702292,-0.600318105406422
U15555_at,-54.25925925925926,230.0,190.02238584573956,283.8474942640854,-284.25925925925924,473.869880109825,-0.5998677510235062
L09229_s_at,700.0370370370371,2546.090909090909,423.4221826136944,2655.6907747155146,-1846.053872053872,3079.112957329209,-0.5995408085499794
M14016_at,387.85185185185185,913.3636363636364,126.22742104377251,750.5732839273288,-525.5117845117845,876.8007049711014,-0.599351462119439
U40279_at,236.1851851851852,469.27272727272725,178.6533034931144,210.65853455727395,-233.08754208754206,389.31183805038836,-0.598716810808547
L14856_at,625.4814814814815,933.1818181818181,226.68130294625783,287.27541425670876,-307.7003367003366,513.9567172029666,-0.5986892016411232
L09235_at,150.40740740740742,257.90909090909093,60.64477861934343,118.93818103994575,-107.50168350168352,179.58295965928917,-0.5986185087139633
U51004_at,3160.4814814814813,5007.909090909091,1320.5619832355283,1773.7240176840057,-1847.4276094276097,3094.2860009195338,-0.5970448784884806
